Scientific_name,Order,Migratory01,CA,NB,CO,Nlat,Clutchsize,Clutchnum,Annfecund,avg_mass,open_fw,Dietsum,Foragesum,Bio1_mean,Bio1_std,Flight_rank,Wingload,Rangekm2,Signif_shift2
Centrocercus_urophasianus,Galliformes,0,0.23,-8.78,-2.27,,7.85,1.5,11.775,2048.65,0,2,2,5.025016667,2.384431868,1,0.123622551,1410030.385,0
Certhia_americana,Passeriformes,1,4.42,0.8,2.07,53.5167,5.5,1,5.5,8.175,0,3,2,10.83685908,4.065988002,3,0.061628045,12161789.61,0
Chamaea_fasciata,Passeriformes,0,0.89,-1.64,0.96,45.5167,3.3,1.5,4.95,14.715,0,1,2,14.28358571,2.57291429,NA,0.071379492,246115.1921,0
Charadrius_montanus,Charadriiformes,1,0.27,8.38,-6.45,38.6,6.3,1,6.3,100.3,0,1,1,17.8178,2.49090346,3,0.076900825,1577996.78,1
Charadrius_vociferus,Charadriiformes,1,-4.72,1.83,-0.34,51.1667,4,1.5,6,NA,0,1,1,12.82802188,4.373780945,3,0.070298586,15822178.94,1
Chen_caerulescens,Anseriformes,1,-2.97,-2.55,-0.06,50.5167,4.19,1,4.19,2292.45,0,2,2,13.17640602,4.120632945,3,0.078655149,10249116.01,0
Chen_rossii,Anseriformes,1,-5.66,5.88,-5.54,50.5167,4,1,4,1636.2,1,2,2,14.61917,4.901387839,3,0.078655149,2906628.093,1
Chloroceryle_americana,Coraciiformes,0,-3.95,-1.96,-2.4,30.15,5,1,5,32.05,1,1,1,21.57915714,1.790959628,3,0.101697552,16934228.01,0
Chondestes_grammacus,Passeriformes,1,-3.57,-0.59,-1.02,43.3167,4.09,1,4.09,30.4,0,2,1,17.06185636,3.426471831,3,0.072396828,7065390.144,0
Circus_cyaneus,Accipitriformes,1,3.94,-2.28,2.04,50.9167,4.4,1,4.4,458,0,2,1,12.57594594,4.454777932,4,0.034415026,17839040.81,0
Cistothorus_palustris,Passeriformes,1,-1.57,0.45,0.07,49.5333,5,1.5,7.5,10,0,2,3,14.73394023,4.516708295,2,0.061628045,10354602.01,0
Cistothorus_platensis,Passeriformes,1,-6.3,-5.69,-3.22,44.2333,7,1.5,10.5,7.99,0,1,3,17.91726778,3.621735912,2,0.076600346,9381934.958,0
Coccothraustes_vespertinus,Passeriformes,1,1.11,0.18,-0.13,53.5167,3,1,3,61.4,0,3,2,9.388554255,3.221377454,NA,0.081640279,9649733.403,0
Colaptes_auratus,Piciformes,1,7.42,2.43,1.49,53.5167,6.5,1,6.5,138.5,0,1,3,11.98389354,4.484274991,3,0.066494898,15753980.56,1
Colinus_virginianus,Galliformes,0,12.54,25.94,-1.55,45.5167,13,1.5,19.5,171.5,0,3,1,13.61342371,4.143189552,NA,0.145810351,4554521.044,1
Columba_livia,Columbiformes,0,-3.35,-0.02,0.13,53.5167,2,1.5,3,358.15,0,1,1,11.28576202,4.646440757,3,0.086850144,30266195.82,0
Columbina_inca,Columbiformes,0,-3.09,-0.41,-1.22,37.6833,2,3,6,56.1,0,1,1,19.33171935,2.88627841,3,0.084930873,2928149.306,0
Columbina_passerina,Columbiformes,0,3.04,2.35,0.11,37.5,2,3,6,31.95,0,2,1,20.34621429,2.673907971,3,0.084930873,6758415.236,1
Coragyps_atratus,Accipitriformes,0,11.72,11.42,0.99,41.8833,2,1,2,1900,0,2,1,17.0688913,3.936659977,5,0.047695208,20938865.62,1
Corvus_brachyrhynchos,Passeriformes,1,4.28,6.9,0.43,51.4333,4.7,1,4.7,508.25,0,5,1,11.10916488,4.387703929,4,0.050098215,10868000.32,1
Corvus_cryptoleucus,Passeriformes,0,15,-7.42,5.98,38.1667,4.92,1,4.92,534,0,5,1,17.75602778,3.418856547,4,0.050359788,1508863.499,0
Corvus_ossifragus,Passeriformes,1,2.74,3.2,1.34,42.6,4.5,1,4.5,285.05,0,5,1,15.27524545,4.44305984,4,0.044295729,970924.261,1
Cygnus_buccinator,Anseriformes,1,6.92,8.89,-3.29,49.9667,4.5,1,4.5,10625,1,2,1,8.919230769,2.376847714,3,0.083728085,1616821.516,1
Cygnus_columbianus,Anseriformes,1,1.83,-6.5,3.9,51.1667,6,1,6,6750,0,2,2,11.61636964,3.603574483,3,0.078945664,7278692.381,0
Dendrocygna_autumnalis,Anseriformes,1,1.34,-10.35,2.37,29.3167,13.4,1.5,20.1,827.85,0,1,1,22.06416,0.868973229,NA,0.124728877,9299676.357,0
Dendroica_coronata,Passeriformes,1,-1.74,0.82,-0.21,49.2667,4.5,1,4.5,12.4,0,2,3,13.18192101,4.340207857,3,0.068314528,17881384.59,0
Dendroica_dominica,Passeriformes,1,-1.87,9.31,-1.86,38.1,4,1.5,6,9.7,0,1,3,20.885336,2.383117836,3,0.071050726,3209648.164,1
Dendroica_nigrescens,Passeriformes,1,2,-12.94,2.77,46.9667,4,1,4,8.275,0,1,3,17.48568261,3.166247268,3,0.071050726,3560774.216,0
Dendroica_occidentalis,Passeriformes,1,0.72,-0.61,-0.58,38.4333,4.3,1,4.3,10.35,0,1,3,14.46526667,1.314815009,3,0.071050726,2437490.782,0
Dendroica_palmarum,Passeriformes,1,-1.2,4.08,-2.87,46.9667,4.5,1,4.5,10.14,0,2,3,15.57518481,4.613169048,3,0.071050726,7875543.425,1
Dendroica_pinus,Passeriformes,1,-2.79,3.51,-1.9,45.8833,3.73,1.5,5.595,11.9,0,3,3,16.998065,3.983089899,3,0.071050726,2274302.775,1
Dendroica_townsendi,Passeriformes,1,0.68,-2.26,1.25,49.2667,4,1,4,8.85,0,1,2,13.61163125,2.978552651,3,0.071050726,5326402.922,0
Dumetella_carolinensis,Passeriformes,1,2.65,-0.82,-1.47,48.2,3.64,2,7.28,37.65,0,2,2,13.89925652,4.96909633,3,0.076668767,8456107.304,0
Egretta_caerulea,Pelecaniformes,1,0.91,0.41,-1.9,44.3333,4,1,4,336,0,4,1,19.08075476,3.960540973,4,0.047059378,8482695.666,0
Egretta_thula,Pelecaniformes,1,0.32,-1.94,-1.56,41.7167,4,1,4,369,0,3,1,17.9217664,3.993258968,4,0.049487339,22532801.27,0
Egretta_tricolor,Pelecaniformes,0,3.14,-4,-2.08,39.4333,4,1,4,338.75,0,4,1,19.69967532,3.345505264,4,0.049487339,2464652.553,1
Elanus_leucurus,Accipitriformes,0,5.38,0.11,2.55,44.5,4,1.5,6,334,0,2,1,16.37643279,3.550335988,4,0.033926838,9397271.826,0
Empidonax_wrightii,Passeriformes,1,1.02,-0.07,0.85,,3.52,2,7.04,12.5,0,1,2,18.646875,3.269752552,3,NA,2899134.85,0
Eremophila_alpestris,Passeriformes,1,4.27,-0.55,1.05,52.0667,3.5,2.5,8.75,34.81,0,2,1,10.86524191,3.80237399,3,0.056973122,19386431.11,0
Eudocimus_albus,Pelecaniformes,0,2.96,2.49,-0.04,32,3.5,1,3.5,612.5,0,3,2,20.87492679,1.930667045,4,0.087379655,1625958.484,1
Euphagus_carolinus,Passeriformes,1,-0.61,0.38,3.32,52.0667,4.53,1,4.53,59.75,1,2,1,11.95171852,4.420567752,3,0.058150202,12357477.12,0
Euphagus_cyanocephalus,Passeriformes,1,7.7,-1.6,-0.96,51.1667,4.98,1,4.98,65.895,0,3,3,13.23780671,4.829623204,3,0.058150202,9875496.282,0
Falco_columbarius,Falconiformes,1,-6.03,0.12,0.77,53.5167,4.25,1,4.25,209.85,0,3,2,12.80228444,5.060965084,4,0.069220101,19818693.53,0
Falco_mexicanus,Falconiformes,0,1.03,0.88,1.15,51.05,5,1,5,717.5,0,4,2,12.03366642,4.592994593,4,0.062278366,4585107.796,0
Falco_sparverius,Falconiformes,1,0.44,-3.87,-0.23,50.9167,4.6,1.5,6.9,115.5,0,3,3,11.96373899,4.482916648,4,0.071439341,25901783.29,0
Fulica_americana,Gruiformes,1,4.27,-1.03,0.06,50.9167,10,1.5,15,540,1,5,3,12.97234321,4.372755244,2,0.096326677,13295435.93,0
Gallinago_gallinago,Charadriiformes,1,-4.7,-1.59,0.57,51.1667,3,1,3,101.715,1,2,1,12.83438544,4.548474826,3,0.089239343,20400055.24,0
Gallinula_chloropus,Gruiformes,1,-1.44,-1.12,-1.62,42.35,7.35,1.5,11.025,381,1,4,3,18.0954664,3.851285694,2,0.112111311,14697102.01,0
Geococcyx_californianus,Cuculiformes,0,-1.43,-4.43,0.53,40.2,4.5,2,9,302.71,0,3,1,17.02272371,3.279618513,3,NA,2929049.745,0
Geothlypis_trichas,Passeriformes,1,4.64,7.97,-2.73,49.2667,4,2,8,9.95,0,1,4,15.34800122,4.69847125,3,0.076676075,14031930.25,1
Grus_canadensis,Gruiformes,1,-0.26,2.49,1.11,49.6667,2,1,2,4300,0,5,2,17.98346935,4.345022604,4,0.04669209,14407792.49,1
Gymnorhinus_cyanocephalus,Passeriformes,0,-1.52,-0.69,-2.81,46.6833,3.5,1,3.5,105,0,5,3,8.976203226,2.277908133,4,NA,1336600.758,0
Himantopus_mexicanus,Charadriiformes,1,-1.3,-1.01,2.23,37.95,4,1,4,173.2,0,2,2,18.69856207,3.471582717,4,0.076900825,11353958.18,0
Ixobrychus_exilis,Pelecaniformes,1,8.23,0.72,1.9,40.8333,4.5,1,4.5,82.175,0,3,2,20.51888125,3.559942778,4,0.034817296,8171753.509,0
Ixoreus_naevius,Passeriformes,1,15.19,5.43,1.62,50.9167,3,1,3,77.55,0,2,2,11.82421176,3.706372445,NA,0.083596861,3579313.318,1
Junco_hyemalis,Passeriformes,1,6.01,0.22,1.57,53.5167,4,1.5,6,19.6,0,2,2,11.03312918,4.278100924,3,0.078101093,16176604.63,0
Lanius_ludovicianus,Passeriformes,1,-0.47,-3.81,-1.54,46.9167,5.4,1.5,8.1,47.7,0,3,2,14.58426127,4.304048693,3,0.060127897,9311101.509,0
Larus_argentatus,Charadriiformes,1,-0.79,-3.58,-0.21,50.9167,3,1,3,1085,0,5,3,11.91705345,4.653447645,5,0.053317421,19109470.74,0
Larus_californicus,Charadriiformes,1,-1.65,1.01,0.64,49.9667,2.5,1,2.5,691,0,3,1,13.41375698,3.961808775,5,0.050631164,6056155.092,1
Larus_delawarensis,Charadriiformes,1,-3.55,5.95,0.49,50.9167,3,1,3,508.25,0,5,3,12.68305039,4.535990131,5,0.050631164,13105643.85,1
